340,42,3401
327,41,3403
88,45,3405
75,238,3506
68,43,3507

57,55,3908
255,53,4108
332,54,4308
167,51,4409
7,56,4210
11,50,3708
19,111,3910

168,75,4509
106,73,4510
320,77,4512
282,76,4614
39,78,4414
161,74,4315
6,79,4412

328,33,4417
198,31,4618
15,29,4618
46,38,4719
3,37,4920
333,34,5120
387,36,5320
38+62,35,5520
257,32,5622
17,30,5022
5W,28,4419

111,59,5722
294+335,63,5724
304+306,66,5726
17,61,5728
302,65,5730
3,68,5730
336,67,5632
23,62,5528
16,60,5528
3T,69,5427
2DR,64,5427

454,98,3829
218,93,1211
213,95,3316
444,84,3724
Turk,251,2605
1H,99,2702
503,91,4213
911+,92,4213
Manstein,94,4213

